Locality,Zip Code,Type of Property,Subtype of Property,Price,Type of Sale,Number of Rooms,Livable Space (m2),Fully Equipped Kitchen,Furnished,Any Fireplace ?,Terrace,Terrace Area (m2),Garden,Garden Area (m2),Swimming Pool,Surface of the Land (m2),Number of Facades,Construction Year,PEB,Primary Energy Consumption (kWh/m2),State of the Building,Url
Dison,4800,House,house,220000,for-sale,3,92,1,0,0,1,6.0,1,227.0,0,261,2.0,1950.0,C,216.0,Good,https://www.immoweb.be/en/classified/house/for-sale/dison/4800/20118112
Liege,4000,House,apartment-block,920000,for-sale,8,360,1,0,0,1,18.0,1,45.0,0,280,3.0,2013.0,B,168.0,Good,https://www.immoweb.be/en/classified/apartment-block/for-sale/liege/4000/20284882
Liege,4000,House,house,270000,for-sale,3,148,1,0,0,1,10.0,1,300.0,0,405,2.0,1940.0,C,198.0,Just renovated,https://www.immoweb.be/en/classified/house/for-sale/liege/4000/11428358
Genappe,1470,House,house,195000,for-sale,2,142,1,0,0,0,,1,140.0,0,282,3.0,1850.0,G,568.0,To renovate,https://www.immoweb.be/en/classified/house/for-sale/genappe/1470/20080346
Woluwe-saint-lambert,1200,House,house,945000,for-sale,5,353,1,0,0,0,,1,104.0,0,222,2.0,1928.0,E,226.0,Good,https://www.immoweb.be/en/classified/house/for-sale/woluwe-saint-lambert/1200/20184271
Forest,1190,House,apartment-block,620000,for-sale,5,377,1,0,0,1,17.0,1,86.0,0,188,2.0,1930.0,,,Good,https://www.immoweb.be/en/classified/apartment-block/for-sale/forest/1190/20294823
Herselt-ramsel,2230,House,villa,849000,for-sale,4,437,1,0,0,0,,0,,1,1750,4.0,1991.0,C,259.0,As new,https://www.immoweb.be/en/classified/villa/for-sale/herselt-ramsel/2230/20090008
Brasschaat,2930,House,villa,4385000,for-sale,5,988,1,0,1,0,,0,,1,18997,4.0,1960.0,B,177.0,As new,https://www.immoweb.be/en/classified/villa/for-sale/brasschaat/2930/20279219
Retie,2470,Apartment,apartment,595000,for-sale,4,254,0,0,0,1,95.0,0,,0,,,2006.0,B,191.0,,https://www.immoweb.be/en/classified/apartment/for-sale/retie/2470/20301050
Bruxelles,1000,Apartment,apartment,179000,for-sale,1,39,0,1,0,0,,0,,0,,3.0,1958.0,C,116.0,Good,https://www.immoweb.be/en/classified/apartment/for-sale/bruxelles/1000/20302266
Liege-chenee,4032,House,house,199000,for-sale,3,110,1,0,0,1,35.0,1,35.0,0,95,2.0,1945.0,D,290.0,Good,https://www.immoweb.be/en/classified/house/for-sale/liege-chenee/4032/20281466
Grace-hollogne,4460,House,house,249000,for-sale,3,157,1,0,0,1,18.0,1,25.0,0,204,2.0,1982.0,D,334.0,Good,https://www.immoweb.be/en/classified/house/for-sale/grace-hollogne/4460/20195696
Kontich,2550,House,villa,570000,for-sale,5,228,1,0,0,0,,1,496.0,0,633,4.0,1973.0,E,462.0,Good,https://www.immoweb.be/en/classified/villa/for-sale/kontich/2550/20308247
Antwerpen,2018,Apartment,duplex,785000,for-sale,3,240,0,0,0,0,,1,83.0,0,,2.0,2024.0,,,As new,https://www.immoweb.be/en/classified/duplex/for-sale/antwerpen/2018/20123111
Knokke-heist,8301,House,house,875000,for-sale,6,215,0,0,0,0,,0,,0,249,4.0,1936.0,F,616.0,To be done up,https://www.immoweb.be/en/classified/house/for-sale/knokke-heist/8301/11211268
